"Id";"Nome";"Tipo";"Unidade";"Mín";"Máx";"Padrăo";"Dígitos dec.";"Valor";"Somente Leitura";"Comparaçăo";"Descriçăo"
"P0230";"PAR_0230";"WORD";"";"0: Inativa";"1: Ativa";"0: Inativa";"0";"0: Inativa";"";"";"Zona Morta (AIs)"
"P0231";"PAR_0231";"WORD";"";"0: Ref. Veloc.";"15: Funçăo 8 Aplicaçăo";"0: Ref. Veloc.";"0";"0: Ref. Veloc.";"";"";"Funçăo do Sinal AI1"
"P0232";"PAR_0232";"WORD";"";"0.000";"9.999";"1.000";"3";"1.000";"";"";"Ganho da Entrada AI1"
"P0233";"PAR_0233";"WORD";"";"0: 0 a 10V/20mA";"3: 20 a 4 mA";"0: 0 a 10V/20mA";"0";"0: 0 a 10V/20mA";"";"";"Sinal da Entrada AI1"
"P0234";"PAR_0234";"WORD";"%";"-100.0";"100.0";"0.0";"1";"0.0";"";"";"Offset da Entrada AI1"
"P0235";"PAR_0235";"WORD";"s";"0.00";"16.00";"0.00";"2";"0.00";"";"";"Filtro da Entrada AI1"
"P0236";"PAR_0236";"WORD";"";"0: Ref. Veloc.";"15: Funçăo 8 Aplicaçăo";"0: Ref. Veloc.";"0";"0: Ref. Veloc.";"";"";"Funçăo do Sinal AI2"
"P0237";"PAR_0237";"WORD";"";"0.000";"9.999";"1.000";"3";"1.000";"";"";"Ganho da Entrada AI2"
"P0238";"PAR_0238";"WORD";"";"0: 0 a 10V/20mA";"3: 20 a 4 mA";"0: 0 a 10V/20mA";"0";"0: 0 a 10V/20mA";"";"";"Sinal da Entrada AI2"
"P0239";"PAR_0239";"WORD";"%";"-100.0";"100.0";"0.0";"1";"0.0";"";"";"Offset da Entrada AI2"
"P0240";"PAR_0240";"WORD";"s";"0.00";"16.00";"0.00";"2";"0.00";"";"";"Filtro da Entrada AI2"
"P0241";"PAR_0241";"WORD";"";"0: Ref. Veloc.";"15: Funçăo 8 Aplicaçăo";"0: Ref. Veloc.";"0";"0: Ref. Veloc.";"";"";"Funçăo do Sinal AI3"
"P0242";"PAR_0242";"WORD";"";"0.000";"9.999";"1.000";"3";"1.000";"";"";"Ganho da Entrada AI3"
"P0243";"PAR_0243";"WORD";"";"0: 0 a 10V/20mA";"4: -10 a +10V";"0: 0 a 10V/20mA";"0";"0: 0 a 10V/20mA";"";"";"Sinal da Entrada AI3"
"P0244";"PAR_0244";"WORD";"%";"-100.0";"100.0";"0.0";"1";"0.0";"";"";"Offset da Entrada AI3"
"P0245";"PAR_0245";"WORD";"s";"0.00";"16.00";"0.00";"2";"0.00";"";"";"Filtro da Entrada AI3"
"P0246";"PAR_0246";"WORD";"";"0: Inativa";"1: Ativa";"0: Inativa";"0";"0: Inativa";"";"";"Entrada em Freq. FI"
"P0247";"PAR_0247";"WORD";"";"0.000";"9.999";"1.000";"3";"1.000";"";"";"Ganho da Entrada FI"
"P0248";"PAR_0248";"WORD";"Hz";"10";"20000";"10";"0";"10";"";"";"Entrada FI Mínima"
"P0249";"PAR_0249";"WORD";"%";"-100.0";"100.0";"0.0";"1";"0.0";"";"";"Offset da Entrada FI"
"P0250";"PAR_0250";"WORD";"Hz";"10";"20000";"10000";"0";"10000";"";"";"Entrada FI Máxima"
"P0251";"PAR_0251";"WORD";"";"0: Ref. Veloc.";"28: Funçăo 8 Aplicaçăo";"2: Veloc. Real";"0";"2: Veloc. Real";"";"";"Funçăo da Saída AO1"
"P0252";"PAR_0252";"WORD";"";"0.000";"9.999";"1.000";"3";"1.000";"";"";"Ganho da Saída AO1"
"P0253";"PAR_0253";"WORD";"";"0: 0 a 10V";"5: 20 a 4 mA";"0: 0 a 10V";"0";"0: 0 a 10V";"";"";"Sinal da Saída AO1"
"P0254";"PAR_0254";"WORD";"";"0: Ref. Veloc.";"28: Funçăo 8 Aplicaçăo";"5: Corrente Saída";"0";"5: Corrente Saída";"";"";"Funçăo da Saída AO2"
"P0255";"PAR_0255";"WORD";"";"0.000";"9.999";"1.000";"3";"1.000";"";"";"Ganho da Saída AO2"
"P0256";"PAR_0256";"WORD";"";"0: 0 a 10V";"5: 20 a 4 mA";"0: 0 a 10V";"0";"0: 0 a 10V";"";"";"Sinal da Saída AO2"
"P0257";"PAR_0257";"WORD";"";"0: Ref. Veloc.";"28: Funçăo 8 Aplicaçăo";"15: Desabilita FO";"0";"15: Desabilita FO";"";"";"Funçăo da Saída FO"
"P0258";"PAR_0258";"WORD";"";"0.000";"9.999";"1.000";"3";"1.000";"";"";"Ganho Saída FO"
"P0259";"PAR_0259";"WORD";"Hz";"10";"20000";"10";"0";"10";"";"";"Saída FO Mínima"
"P0260";"PAR_0260";"WORD";"Hz";"10";"20000";"10000";"0";"10000";"";"";"Saída FO Máxima"
"P0263";"PAR_0263";"WORD";"";"0: Sem Funçăo";"46: Funçăo 8 Aplicaçăo";"1: Gira/Pára";"0";"2: Habilita Geral";"";"X";"Funçăo da Entrada DI1"
"P0264";"PAR_0264";"WORD";"";"0: Sem Funçăo";"46: Funçăo 8 Aplicaçăo";"8: Sentido Giro Horário";"0";"0: Sem Funçăo";"";"X";"Funçăo da Entrada DI2"
"P0265";"PAR_0265";"WORD";"";"0: Sem Funçăo";"46: Funçăo 8 Aplicaçăo";"20: Reset";"0";"22: Man./Auto PID";"";"X";"Funçăo da Entrada DI3"
"P0266";"PAR_0266";"WORD";"";"0: Sem Funçăo";"46: Funçăo 8 Aplicaçăo";"10: JOG";"0";"0: Sem Funçăo";"";"X";"Funçăo da Entrada DI4"
"P0267";"PAR_0267";"WORD";"";"0: Sem Funçăo";"46: Funçăo 8 Aplicaçăo";"0: Sem Funçăo";"0";"0: Sem Funçăo";"";"";"Funçăo da Entrada DI5"
"P0268";"PAR_0268";"WORD";"";"0: Sem Funçăo";"46: Funçăo 8 Aplicaçăo";"0: Sem Funçăo";"0";"0: Sem Funçăo";"";"";"Funçăo da Entrada DI6"
"P0269";"PAR_0269";"WORD";"";"0: Sem Funçăo";"46: Funçăo 8 Aplicaçăo";"0: Sem Funçăo";"0";"0: Sem Funçăo";"";"";"Funçăo da Entrada DI7"
"P0270";"PAR_0270";"WORD";"";"0: Sem Funçăo";"46: Funçăo 8 Aplicaçăo";"0: Sem Funçăo";"0";"0: Sem Funçăo";"";"";"Funçăo da Entrada DI8"
"P0271";"PAR_0271";"WORD";"";"0: (DI1..DI8)NPN";"8: (DI1..DI8)PNP";"0: (DI1..DI8)NPN";"0";"0: (DI1..DI8)NPN";"";"";"Sinal das DIs"
"P0275";"PAR_0275";"WORD";"";"0: Sem Funçăo";"44: Funçăo 8 Aplicaçăo";"13: Sem Falha";"0";"20: Conteúdo P0695";"";"X";"Funçăo da Saída DO1"
"P0276";"PAR_0276";"WORD";"";"0: Sem Funçăo";"44: Funçăo 8 Aplicaçăo";"2: F > Fx";"0";"0: Sem Funçăo";"";"X";"Funçăo da Saída DO2"
"P0277";"PAR_0277";"WORD";"";"0: Sem Funçăo";"44: Funçăo 8 Aplicaçăo";"0: Sem Funçăo";"0";"0: Sem Funçăo";"";"";"Funçăo da Saída DO3"
"P0278";"PAR_0278";"WORD";"";"0: Sem Funçăo";"44: Funçăo 8 Aplicaçăo";"0: Sem Funçăo";"0";"0: Sem Funçăo";"";"";"Funçăo da Saída DO4"
"P0279";"PAR_0279";"WORD";"";"0: Sem Funçăo";"44: Funçăo 8 Aplicaçăo";"0: Sem Funçăo";"0";"0: Sem Funçăo";"";"";"Funçăo da Saída DO5"
"P0287";"PAR_0287";"WORD";"Hz";"0.0";"10.0";"0.5";"1";"0.5";"";"";"Histerese Fx"
"P0288";"PAR_0288";"WORD";"Hz";"0.0";"500.0";"3.0";"1";"3.0";"";"";"Velocidade Fx"
"P0290";"PAR_0290";"WORD";"A";"0.0";"200.0";"3.6";"1";"4.3";"";"X";"Corrente Ix"
"P0293";"PAR_0293";"WORD";"%";"0";"200";"100";"0";"100";"";"";"Torque Tx"
"P0295";"PAR_0295";"WORD";"A";"0.0";"200.0";"0.0";"1";"4.3";"X";"X";"Corr. Nom. Inv."
"P0296";"PAR_0296";"WORD";"";"0: 200 - 240 V";"7: 600 V";"0: 200 - 240 V";"0";"0: 200 - 240 V";"X";"";"Tensăo Nominal Rede"
"P0297";"PAR_0297";"WORD";"Hz";"2500";"15000";"5000";"0";"5000";"";"";"Freq. de Chaveamento"
"P0299";"PAR_0299";"WORD";"s";"0.0";"15.0";"0.0";"1";"0.0";"";"";"Tempo Frenag. Partida"
"P0300";"PAR_0300";"WORD";"s";"0.0";"15.0";"0.0";"1";"0.0";"";"";"Tempo Frenagem Parada"
"P0301";"PAR_0301";"WORD";"Hz";"0.0";"500.0";"3.0";"1";"3.0";"";"";"Frequęncia de Início"
"P0302";"PAR_0302";"WORD";"%";"0.0";"100.0";"20.0";"1";"20.0";"";"";"Tensăo Frenagem CC"
"P0303";"PAR_0303";"WORD";"Hz";"0.0";"500.0";"20.0";"1";"20.0";"";"";"Frequęncia Evitada 1"
"P0304";"PAR_0304";"WORD";"Hz";"0.0";"500.0";"30.0";"1";"30.0";"";"";"Frequęncia Evitada 2"
"P0306";"PAR_0306";"WORD";"Hz";"0.0";"25.0";"0.0";"1";"0.0";"";"";"Faixa Evitada"
"P0308";"PAR_0308";"WORD";"";"1";"247";"1";"0";"1";"";"";"Endereço Serial"
"P0310";"PAR_0310";"WORD";"";"0: 9600 bits/s";"2: 38400 bits/s";"1: 19200 bits/s";"0";"1: 19200 bits/s";"";"";"Taxa Comunic. Serial"
"P0311";"PAR_0311";"WORD";"";"0: 8 bits, sem, 1";"5: 8 bits, ímp, 2";"1: 8 bits, par, 1";"0";"3: 8 bits, sem, 2";"";"X";"Config. Bytes Serial"
"P0312";"PAR_0312";"WORD";"";"0: HMI(1)";"13: Mestre RTU(2)";"2: Modbus RTU(1)";"0";"2: Modbus RTU(1)";"";"";"Protocolo Serial(1)(2)"
"P0313";"PAR_0313";"WORD";"";"0: Inativo";"5: Causa Falha";"1: Pára por Rampa";"0";"1: Pára por Rampa";"";"";"Açăo p/ Erro Comunic."
"P0314";"PAR_0314";"WORD";"s";"0.0";"999.0";"0.0";"1";"0.0";"";"";"Watchdog Serial"
"P0316";"PAR_0316";"WORD";"";"0: Inativo";"2: Erro Watchdog";"0: Inativo";"0";"1: Ativo";"X";"X";"Estado Interf. Serial"
"P0320";"PAR_0320";"WORD";"";"0: Inativas";"3: Ride-Through (RT)";"0: Inativas";"0";"0: Inativas";"";"";"Flying Start/Ride-Through"
"P0321";"PAR_0321";"WORD";"V";"308";"616";"459";"0";"252";"";"X";"Ud para Falta de Rede"
"P0322";"PAR_0322";"WORD";"V";"308";"487";"423";"0";"243";"";"X";"Ud para Ride-Through"
"P0323";"PAR_0323";"WORD";"V";"308";"487";"462";"0";"267";"";"X";"Ud para Retorno Rede"
"P0325";"PAR_0325";"WORD";"";"0.0";"63.9";"22.8";"1";"22.8";"";"";"Ganho Prop. RT"
"P0326";"PAR_0326";"WORD";"";"0.000";"9.999";"0.128";"3";"0.128";"";"";"Ganho Integr. RT"
"P0327";"PAR_0327";"WORD";"";"0.000";"1.000";"0.070";"3";"0.000";"";"X";"Rampa Corr. I/f F.S."
"P0328";"PAR_0328";"WORD";"";"0.000";"1.000";"0.085";"3";"0.000";"";"X";"Filtro Flying Start"
"P0329";"PAR_0329";"WORD";"";"2.0";"50.0";"6.0";"1";"6.0";"";"";"Rampa Freq. I/f F.S."
"P0331";"PAR_0331";"WORD";"s";"0.2";"60.0";"2.0";"1";"2.0";"";"";"Rampa de Tensăo"
"P0340";"PAR_0340";"WORD";"s";"0";"255";"0";"0";"0";"";"";"Tempo Auto-Reset"
"P0343";"PAR_0343";"WORD";"";"0: F0074";"";"";"0";"";"";"";"Máscara Falhas/Alarmes"
"P0349";"PAR_0349";"WORD";"%";"70";"100";"85";"0";"85";"";"";"Nível para Alarme Ixt"
"P0360";"PAR_0360";"WORD";"%";"0.0";"100.0";"10.0";"1";"10.0";"";"";"Erro vel. A0168/F0169"
"P0361";"PAR_0361";"WORD";"s";"0.0";"999.0";"0.0";"1";"0.0";"";"";"Tempo A0168 e F0169"
"P0372";"PAR_0372";"WORD";"%";"0.0";"90.0";"40.0";"1";"40.0";"";"";"Corr. Fren. CC (Sless)"
"P0397";"PAR_0397";"WORD";"";"0: Comp. Escorreg. Regen.";"";"";"0";"";"";"";"Config. do Controle"
"P0398";"PAR_0398";"WORD";"";"1.00";"1.50";"1.00";"2";"1.00";"";"";"Fator Serviço Motor"
"P0399";"PAR_0399";"WORD";"%";"50.0";"99.9";"75.0";"1";"75.0";"";"";"Rendimento Nom. Motor"
"P0400";"PAR_0400";"WORD";"V";"200";"600";"380";"0";"220";"";"X";"Tensăo Nominal Motor"
"P0401";"PAR_0401";"WORD";"A";"0.0";"200.0";"3.6";"1";"4.3";"";"X";"Corrente Nom. Motor"
"P0402";"PAR_0402";"WORD";"rpm";"0";"30000";"1710";"0";"1710";"";"";"Rotaçăo Nom. Motor"
"P0403";"PAR_0403";"WORD";"Hz";"0";"500";"60";"0";"60";"";"";"Frequęncia Nom. Motor"
"P0404";"PAR_0404";"WORD";"";"0: 0.16 HP (0.12 kW)";"19: 30.00 HP (22.00 kW)";"0: 0.16 HP (0.12 kW)";"0";"5: 1.00 HP (0.75 kW)";"";"X";"Potęncia Nom. Motor"
"P0405";"PAR_0405";"WORD";"";"100";"9999";"1024";"0";"1024";"";"";"Número Pulsos Encoder"
"P0406";"PAR_0406";"WORD";"";"0: Autoventilado";"1: Independente";"0: Autoventilado";"0";"0: Autoventilado";"";"";"Ventilaçăo do Motor"
"P0407";"PAR_0407";"WORD";"";"0.50";"0.99";"0.80";"2";"0.80";"";"";"Fator Pot. Nom. Motor"
"P0409";"PAR_0409";"WORD";"";"0.01";"99.99";"4.00";"2";"4.13";"";"X";"Resistęncia Estator"
"P0410";"PAR_0410";"WORD";"A";"0.0";"100.0";"0.0";"1";"0.0";"";"";"Corrente Magnetizaçăo"
"P0411";"PAR_0411";"WORD";"";"0.00";"99.99";"0.00";"2";"0.00";"";"";"Indutância Dispersăo"
"P0412";"PAR_0412";"WORD";"s";"0.000";"9.999";"0.000";"3";"0.000";"";"";"Constante Tr"
"P0413";"PAR_0413";"WORD";"s";"0.00";"99.99";"0.00";"2";"0.00";"";"";"Constante Tm"
"P0431";"PAR_0431";"WORD";"";"2";"24";"6";"0";"6";"";"";"Número de Pólos"
"P0435";"PAR_0435";"WORD";"";"0";"6000";"0";"0";"0";"";"";"Constante Ke"
"P0445";"PAR_0445";"WORD";"";"0.00";"4.00";"0.50";"2";"0.50";"";"";"Ajuste Eficięncia MTPA"
"P0446";"PAR_0446";"WORD";"";"0.00";"5.00";"1.00";"2";"1.00";"";"";"Ganho Prop. MTPA"
"P0447";"PAR_0447";"WORD";"";"0.000";"0.500";"0.012";"3";"0.012";"";"";"Ganho Integr. MTPA"
"P0448";"PAR_0448";"WORD";"";"0.00";"30.00";"0.75";"2";"0.75";"";"";"Ajuste do Damping"
"P0451";"PAR_0451";"WORD";"%";"0.0";"100.0";"2.0";"1";"2.0";"";"";"Vel. Inicial do Damping (%)"
"P0452";"PAR_0452";"WORD";"ms";"1";"1000";"1";"0";"1";"";"";"Filtro Corrente DQ"
"P0453";"PAR_0453";"WORD";"s";"0.0";"999.0";"0.0";"1";"0.0";"";"";"Tempo Rampa de Partida"
"P0454";"PAR_0454";"WORD";"%";"0.0";"100.0";"100.0";"1";"100.0";"";"";"Tensăo Mínima MTPA"
"P0510";"PAR_0510";"WORD";"";"0: Sem unidade";"19: H";"0: Sem unidade";"0";"0: Sem unidade";"";"";"Unidade Eng. 1 SoftPLC"
"P0511";"PAR_0511";"WORD";"";"0: wxyz";"3: w.xyz";"1: wxy.z";"0";"1: wxy.z";"";"";"Ponto Decimal Uni. Eng. 1"
"P0512";"PAR_0512";"WORD";"";"0: Sem unidade";"19: H";"3: rpm";"0";"3: rpm";"";"";"Unidade Eng. 2 SoftPLC"
"P0513";"PAR_0513";"WORD";"";"0: wxyz";"3: w.xyz";"0: wxyz";"0";"0: wxyz";"";"";"Ponto Decimal Uni. Eng. 2"
"P0520";"PAR_0520";"WORD";"";"0.000";"9.999";"1.000";"3";"0.500";"";"X";"Ganho Proporc. PID"
"P0521";"PAR_0521";"WORD";"";"0.000";"9.999";"0.430";"3";"0.100";"";"X";"Ganho Integral PID"
"P0522";"PAR_0522";"WORD";"";"0.000";"9.999";"0.000";"3";"0.000";"";"";"Ganho Diferencial PID"
"P0525";"PAR_0525";"WORD";"%";"0.0";"100.0";"0.0";"1";"50.0";"";"X";"Setpoint PID pela HMI"
"P0526";"PAR_0526";"WORD";"ms";"0";"9999";"50";"0";"50";"";"";"Filtro Setpoint PID"
"P0527";"PAR_0527";"WORD";"";"0: Direto";"1: Reverso";"0: Direto";"0";"0: Direto";"";"";"Tipo de Açăo PID"
"P0528";"PAR_0528";"WORD";"";"10";"30000";"1000";"0";"1000";"";"";"Escala Indicaçăo VP"
"P0529";"PAR_0529";"WORD";"";"0: wxyz";"3: w.xyz";"1: wxy.z";"0";"1: wxy.z";"";"";"Forma Indicaçăo VP"
"P0533";"PAR_0533";"WORD";"%";"0.0";"100.0";"90.0";"1";"90.0";"";"";"Valor VPx"
"P0535";"PAR_0535";"WORD";"%";"0.0";"100.0";"0.0";"1";"5.0";"";"X";"Faixa p/ Acordar"
"P0536";"PAR_0536";"WORD";"";"0: Inativo";"1: Ativo";"0: Inativo";"0";"0: Inativo";"";"";"Ajuste Autom. P0525"
"P0588";"PAR_0588";"WORD";"%";"0";"85";"0";"0";"0";"";"";"Máximo Torque EOC"
"P0589";"PAR_0589";"WORD";"%";"8";"40";"40";"0";"40";"";"";"Tensăo Mínima EOC"
"P0590";"PAR_0590";"WORD";"rpm";"360";"18000";"600";"0";"600";"";"";"Velocidade Mínima EOC"
"P0591";"PAR_0591";"WORD";"%";"0";"30";"10";"0";"10";"";"";"Histerese EOC"
